Speed ,Direction
8.05,260
7.38,10
7.38,340
4.47,180
10.29,200
5.82,330
4.7,280
4.7,180
6.04,340
5.37,260
2.01,250
5.59,240
5.14,260
4.92,350
6.71,50
7.83,280
10.96,260
3.8,290
2.01,350
9.62,350
7.83,360
3.36,180
7.16,250
4.03,220
6.04,350
3.13,20
1.34,240
5.82,340
5.37,340
4.7,280
1.57,220
3.8,190
5.37,130
5.82,330
7.38,310
4.25,280
2.46,260
4.03,270
3.8,240
8.5,240
5.82,270
9.84,250
7.16,320
6.71,310
4.25,280
4.03,230
12.08,200
14.09,290
8.05,270
6.93,340
4.03,190
6.49,190
9.84,240
7.83,10
4.7,10
9.84,280
3.36,30
4.25,360
1.79,280
4.47,260
4.25,320
6.93,20
3.13,20
8.72,220
11.18,210
13.42,200
4.92,340
4.7,320
4.47,340
7.16,350
12.3,290
6.93,200
3.58,190
2.68,200
2.46,130
1.34,280
6.93,190
11.63,270
4.7,290
2.01,110
6.26,130
13.42,210
7.83,270
7.83,270
12.97,280
6.71,270
4.03,310
5.37,80
13.65,190
12.97,200
7.38,270
4.7,270
5.37,300
3.8,280
4.92,130
5.82,310
7.61,280
9.17,250
8.5,290
3.36,150
6.04,210
6.04,190
9.4,240
7.16,190
4.25,260
6.71,260
7.38,30
7.83,280
7.16,300
4.92,180
7.16,230
1.57,150
4.92,200
6.04,200
6.71,270
6.49,340
3.58,20
3.58,70
2.68,60
5.59,190
7.61,260
2.68,280
7.83,200
6.49,290
3.58,280
4.7,260
8.05,270
5.82,40
2.01,180
2.24,190
3.13,10
4.03,80
3.36,90
4.03,240
3.58,290
5.37,330
3.58,280
5.82,290
3.36,180
8.5,210
5.14,190
8.05,250
7.83,10
3.8,50
6.93,190
6.93,250
6.93,260
3.8,250
2.91,150
3.8,190
2.91,210
4.92,260
3.13,10
3.58,30
2.24,170
5.14,260
6.26,210
6.49,220
5.82,280
2.91,340
1.57,270
3.8,200
4.92,250
6.04,230
2.01,300
4.92,240
4.92,280
7.38,30
5.14,350
1.79,40
2.24,260
3.8,340
5.82,20
3.8,50
3.58,250
5.59,350
6.49,360
5.37,10
2.46,20
2.91,190
4.25,230
3.8,200
3.58,20
2.91,260
5.82,240
3.8,360
4.7,300
3.36,340
4.7,10
6.26,70
2.68,180
5.82,330
3.36,280
3.58,270
2.46,280
3.58,200
6.04,240
4.92,290
1.12,340
5.82,300
5.82,240
2.91,250
3.8,100
6.04,240
5.59,250
3.8,250
7.61,280
5.82,250
5.59,280
2.68,100
4.7,270
8.72,240
4.7,250
3.36,200
3.8,200
3.36,220
3.58,30
3.36,10
3.8,230
4.03,210
2.24,200
2.46,360
5.82,30
3.36,100
3.58,200
4.92,10
3.58,340
2.24,20
2.01,30
2.24,230
3.58,180
3.8,220
3.8,290
2.01,50
2.01,30
2.01,290
2.91,110
2.01,90
2.91,180
3.8,240
5.14,270
2.68,260
2.91,100
2.91,200
3.8,170
3.13,130
1.79,190
4.92,270
5.59,10
4.03,30
2.24,110
2.01,180
3.58,280
5.82,290
3.36,270
2.68,20
1.79,90
1.12,250
1.57,190
2.24,250
3.13,270
1.34,30
2.91,210
7.16,350
3.13,70
4.47,200
5.37,250
6.71,280
4.7,260
6.04,340
8.28,10
7.83,40
5.37,10
5.37,20
6.04,30
2.46,20
2.24,20
1.34,220
4.47,250
4.7,350
1.57,280
2.01,40
2.68,190
6.93,200
7.61,260
5.37,250
7.38,230
3.36,270
8.72,260
5.82,300
7.61,250
4.92,250
2.68,200
2.91,200
2.24,190
2.46,190
5.82,190
7.61,260
6.93,20
1.12,250
0.89,80
1.79,180
4.92,250
3.13,240
2.01,30
1.34,240
4.92,190
9.62,230
4.03,200
4.03,30
7.16,30
2.68,200
3.36,140
6.49,280
4.7,310
4.03,90
3.13,90
3.58,280
8.5,270
5.59,300
4.92,260
6.71,250
3.13,300
2.91,240
1.12,260
0.22,120
1.12,220
2.24,350
2.01,160
12.08,250
3.8,340
6.71,180
11.41,300
1.34,90
6.49,190
7.38,210
1.79,180
3.36,180
4.03,190
4.92,350
4.25,340
3.8,310
2.01,250
3.58,360
5.37,100
2.91,80
5.59,150
8.5,250
9.17,230
9.62,270
6.71,260
2.01,50
0.67,10
2.01,30
6.71,280
16.55,290
10.96,250
6.71,230
3.8,200
2.91,200
6.04,200
5.37,190
6.71,200
4.47,240
